Airline_Name,Carrier_Code,Region,Middle_Seat_Blocked,Mandatory_Mask,Temp_Checks,Health_Cert,HEPA_Filters,Extra_Cleaning,Reduced_Onboard,Amenity_Kit,Updated_Boarding,Cabin_Bags_Restricted,Airline_Program_Name,Airline_Program_Webpage
Hong Kong Airlines,HX,APAC,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Safe Travels,https://hx.hongkongairlines.com/en_HK/fly-with-us/our-services/flysafe
Indigo Air,6E,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IndiGo your lean clean flying machine.,https://www.goindigo.in/lean-clean-flying-machine.html
Japan Airlines,JL,APAC,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,A new travel experience with safety as our number one priority,https://www.jal.co.jp/jp/en/info/2020/other/flysafe/protection-measures/index.html
Jeju Air ,7C,APAC,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Safe & Healthy A New Standard of Travel,https://www.jejuair.net/jejuair/en/event/safeHealthy.do
Korean Airlines,KE,APAC,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Care First,https://www.koreanair.com/global/en/2020_07_carefirst.html
Malaysia Airlines,MH,APAC,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fly Confidently,https://www.malaysiaairlines.com/my/en/campaign/fly-with-confidence.html
Malindo Air ,OD,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Always Safety First,https://www.malindoair.com/news-events/Covid19-Safety-First
Philippine Airlines,PR,APAC,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Keeping You Safe Always,https://www.philippineairlines.com/en/ph/home/covid-19/newnormalexperience
Qantas Airways,QF,APAC,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Fly Well,https://www.qantas.com/au/en/travel-info/travel-updates/coronavirus/health-while-flying.html?int_cam=au%3Acoronavirus%3Aarticle%3Afly-well%3Aen%3Ann
Shandong Airlines ,SC,APAC,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,http://www.sda.cn/about/news/2706.html
Shenzhen Airlines ,ZH,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,http://shenzhenair.com/szair_B2C/getCateMsgList.action?channel=1
Singapore And Silkair,SQ,APAC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Safe and seamless travel with #SIAcares,https://www.singaporeair.com/en_UK/sg/travel-info/covid19-measures/
Sri Lankan Airlines,UL,APAC,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Enhanced Safety Measure for Passengers,https://www.srilankan.com/en_uk/corporate/covid-update
Thai Airways,TG,APAC,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Ensure Hygiene Excellence Because We Care,https://www.thaiairways.com/en/news/news_announcement/news_detail/HygieneExcellence.page
